,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster
27028,White,Female,20,Private,10,Other-service,<=50K,<=50K,0.202817377,-0.635394783,0
42480,White,Male,20,Local-gov,9,Protective-serv,<=50K,<=50K,-0.245516903,0.280679295,1
10374,White,Male,20,Self-emp-not-inc,9,Exec-managerial,<=50K,<=50K,-0.216143864,0.146425105,1
33418,White,Male,30,Private,9,Tech-support,<=50K,>50K,-0.233221172,-0.262473231,0
26542,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.48993841,0.550289056,1
43812,White,Male,50,State-gov,11,Protective-serv,>50K,>50K,-0.476250605,0.685199588,1
479,White,Female,50,Private,10,Sales,<=50K,<=50K,-0.023952013,-0.246516018,0
31663,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.246441683,-0.218717121,0
280,White,Male,30,Federal-gov,9,Craft-repair,<=50K,>50K,-0.299196414,-0.121362433,0
47385,White,Female,20,Private,10,Adm-clerical,<=50K,<=50K,0.12589042,-0.524430427,0
33751,White,Male,30,Self-emp-inc,10,Exec-managerial,>50K,>50K,-0.37097713,0.444375762,1
40093,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.48993841,0.550289056,1
27737,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379,-0.490599905,0
17565,White,Male,50,Private,9,Craft-repair,<=50K,>50K,-0.213142521,-0.244317197,0
34812,Non-White,Male,20,State-gov,13,Prof-specialty,<=50K,<=50K,-0.419490605,0.777940332,1
29694,White,Male,30,Self-emp-not-inc,9,Prof-specialty,<=50K,>50K,-0.407522696,0.53416464,1
2751,White,Female,30,Private,12,Adm-clerical,<=50K,>50K,-0.093500735,-0.308149427,0
4545,White,Female,10,Private,9,Craft-repair,<=50K,<=50K,0.34328352,-0.714556459,0
6255,White,Male,20,State-gov,10,Tech-support,<=50K,<=50K,-0.180559443,0.132509092,1
7122,White,Male,60,Private,13,Exec-managerial,>50K,>50K,-0.167393164,0.49104165,1
41498,White,Female,30,Private,9,Exec-managerial,<=50K,<=50K,-0.176454131,-0.117457197,0
47661,White,Male,50,Self-emp-inc,9,Sales,<=50K,>50K,-0.295052011,0.202562007,1
18059,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.433011925,0.280297794,1
9519,White,Female,40,Private,13,Adm-clerical,<=50K,>50K,-0.214264913,-0.018973868,0
24977,White,Female,30,Local-gov,13,Prof-specialty,<=50K,>50K,-0.477721035,0.893034588,1
8998,White,Male,30,Private,11,Adm-clerical,<=50K,>50K,-0.246963092,-0.235612627,0
42254,White,Male,20,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,-0.114413924,0.013702849,0
43514,White,Male,30,State-gov,7,Craft-repair,<=50K,<=50K,-0.117619734,-0.034905915,0
42321,White,Male,40,Private,9,Sales,<=50K,>50K,-0.209225007,-0.202280151,0
22446,White,Male,20,Private,13,Sales,<=50K,>50K,-0.193103096,-0.118630709,0
16558,Non-White,Female,30,Private,12,Sales,<=50K,<=50K,-0.061573382,-0.354680814,0
2447,Non-White,Male,40,Self-emp-not-inc,6,Craft-repair,<=50K,<=50K,-0.069802422,-0.094307108,0
32791,Non-White,Female,10,Private,7,Other-service,<=50K,<=50K,0.762007993,-1.135657528,0
18622,White,Male,10,Private,5,Handlers-cleaners,<=50K,<=50K,0.448261287,-0.853830847,0
1799,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.174854022,-0.18793973,0
37268,White,Male,30,Private,9,Adm-clerical,<=50K,<=50K,-0.160535761,-0.388046363,0
4048,White,Male,10,Private,9,Other-service,<=50K,<=50K,0.367889041,-0.798492784,0
36238,White,Male,30,Private,7,Machine-op-inspct,<=50K,<=50K,0.059155254,-0.641797812,0
48540,White,Male,20,Unknown,10,Unknown,<=50K,<=50K,2.044310328,0.652612969,2
