,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster,income_after_onehot,income_before_onehot
33418,White,Male,30,Private,9,Tech-support,<=50K,>50K,-0.23322117216976843,-0.26247323129487216,0,1,0
43812,White,Male,50,State-gov,11,Protective-serv,>50K,>50K,-0.47625060513846407,0.6851995879273858,1,1,1
31663,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.2464416827166534,-0.21871712059122694,0,1,0
280,White,Male,30,Federal-gov,9,Craft-repair,<=50K,>50K,-0.29919641433869065,-0.12136243327681848,0,1,0
33751,White,Male,30,Self-emp-inc,10,Exec-managerial,>50K,>50K,-0.3709771304563001,0.4443757620260114,1,1,1
27737,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379006448666,-0.49059990547951765,0,1,0
17565,White,Male,50,Private,9,Craft-repair,<=50K,>50K,-0.21314252110923385,-0.24431719713960387,0,1,0
29694,White,Male,30,Self-emp-not-inc,9,Prof-specialty,<=50K,>50K,-0.4075226963786817,0.5341646404688895,1,1,0
2751,White,Female,30,Private,12,Adm-clerical,<=50K,>50K,-0.09350073470961907,-0.30814942655549027,0,1,0
7122,White,Male,60,Private,13,Exec-managerial,>50K,>50K,-0.16739316375354088,0.4910416498942235,1,1,1
47661,White,Male,50,Self-emp-inc,9,Sales,<=50K,>50K,-0.2950520110516597,0.20256200676894118,1,1,0
9519,White,Female,40,Private,13,Adm-clerical,<=50K,>50K,-0.21426491261259356,-0.018973868311362604,0,1,0
24977,White,Female,30,Local-gov,13,Prof-specialty,<=50K,>50K,-0.4777210351816503,0.8930345876829398,1,1,0
8998,White,Male,30,Private,11,Adm-clerical,<=50K,>50K,-0.24696309182715825,-0.2356126274130239,0,1,0
42321,White,Male,40,Private,9,Sales,<=50K,>50K,-0.20922500739649258,-0.20228015145255498,0,1,0
22446,White,Male,20,Private,13,Sales,<=50K,>50K,-0.19310309609169238,-0.11863070945278816,0,1,0
1799,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.17485402171250283,-0.18793973021343424,0,1,1
14177,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
3017,White,Female,50,Unknown,10,Unknown,<=50K,>50K,2.032300450789037,0.7910919267214866,2,1,0
5342,White,Male,30,Private,13,Craft-repair,<=50K,>50K,-0.3647721194671726,-0.017319405097895476,0,1,0
35602,Non-White,Male,40,Private,10,Craft-repair,>50K,>50K,-0.1520786081091744,-0.273293234716783,0,1,1
21138,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
13924,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,1,0
45982,White,Male,40,Self-emp-not-inc,11,Farming-fishing,>50K,>50K,-0.35983562680185777,0.40522887674018776,1,1,1
8028,White,Female,40,Private,13,Prof-specialty,<=50K,>50K,-0.4007951008179055,0.5966198173491721,1,1,0
27163,White,Male,30,Private,10,Machine-op-inspct,<=50K,>50K,-0.12691529066775564,-0.4342224385533481,0,1,0
14936,White,Male,40,Self-emp-inc,9,Sales,>50K,>50K,-0.3283511726590792,0.2281620833173181,1,1,1
9368,White,Female,60,Private,9,Exec-managerial,<=50K,>50K,0.0891646302573106,0.09328665922026769,0,1,0
38693,White,Female,40,Private,15,Prof-specialty,>50K,>50K,-0.47565618996870024,1.0774093065921164,1,1,1
12773,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
18520,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.17485402171250283,-0.18793973021343424,0,1,1
37442,White,Female,40,Local-gov,14,Prof-specialty,<=50K,>50K,-0.5705282219362029,1.3109691228643707,1,1,0
37267,White,Female,40,Private,9,Exec-managerial,<=50K,>50K,-0.20099615553131558,0.00388682160520462,0,1,0
1895,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
24773,White,Female,40,Private,13,Prof-specialty,<=50K,>50K,-0.4007951008179055,0.5966198173491721,1,1,0
