,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster,income_after_onehot,income_before_onehot
27028,White,Female,20,Private,10,Other-service,<=50K,<=50K,0.20281737658596416,-0.6353947834340873,0,0,0
42480,White,Male,20,Local-gov,9,Protective-serv,<=50K,<=50K,-0.24551690326651857,0.28067929518447526,1,0,0
10374,White,Male,20,Self-emp-not-inc,9,Exec-managerial,<=50K,<=50K,-0.2161438638878934,0.1464251049526188,1,0,0
26542,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,0,1
479,White,Female,50,Private,10,Sales,<=50K,<=50K,-0.023952013232611438,-0.2465160180274565,0,0,0
47385,White,Female,20,Private,10,Adm-clerical,<=50K,<=50K,0.12589041979117946,-0.5244304268279493,0,0,0
40093,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,0,1
34812,Non-White,Male,20,State-gov,13,Prof-specialty,<=50K,<=50K,-0.4194906053922007,0.7779403317653001,1,0,0
4545,White,Female,10,Private,9,Craft-repair,<=50K,<=50K,0.3432835197892854,-0.7145564594189713,0,0,0
6255,White,Male,20,State-gov,10,Tech-support,<=50K,<=50K,-0.18055944349895178,0.13250909237438693,1,0,0
41498,White,Female,30,Private,9,Exec-managerial,<=50K,<=50K,-0.17645413143071387,-0.11745719662272547,0,0,0
18059,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,0,1
42254,White,Male,20,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,-0.1144139236393799,0.013702849123856779,0,0,0
43514,White,Male,30,State-gov,7,Craft-repair,<=50K,<=50K,-0.1176197337785532,-0.034905914610757614,0,0,0
16558,Non-White,Female,30,Private,12,Sales,<=50K,<=50K,-0.06157338197416042,-0.35468081397984097,0,0,0
2447,Non-White,Male,40,Self-emp-not-inc,6,Craft-repair,<=50K,<=50K,-0.06980242211603768,-0.09430710750172631,0,0,0
32791,Non-White,Female,10,Private,7,Other-service,<=50K,<=50K,0.7620079932090004,-1.1356575275937926,0,0,0
18622,White,Male,10,Private,5,Handlers-cleaners,<=50K,<=50K,0.4482612867344888,-0.8538308469957712,0,0,0
37268,White,Male,30,Private,9,Adm-clerical,<=50K,<=50K,-0.1605357608206015,-0.3880463633078601,0,0,0
4048,White,Male,10,Private,9,Other-service,<=50K,<=50K,0.36788904121978966,-0.7984927835611181,0,0,0
36238,White,Male,30,Private,7,Machine-op-inspct,<=50K,<=50K,0.059155253554245536,-0.6417978115077724,0,0,0
48540,White,Male,20,Unknown,10,Unknown,<=50K,<=50K,2.044310328177808,0.652612968501063,2,0,0
23014,White,Male,30,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,-0.24886627169469927,0.13145112261742142,1,0,0
25791,Non-White,Female,30,Private,9,Other-service,<=50K,<=50K,0.08615110434466174,-0.684977557918418,0,0,0
28264,White,Female,30,Private,9,Craft-repair,<=50K,<=50K,-0.10821432545632109,-0.41507439577185123,0,0,0
16892,Non-White,Male,30,Private,9,Transport-moving,<=50K,<=50K,-0.13924820846902428,-0.4760824467148544,0,0,0
23729,Non-White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.015317876550724691,-0.4526691830843499,0,0,0
15700,Non-White,Female,70,Local-gov,12,Prof-specialty,<=50K,<=50K,0.14752109970574548,1.0016520777942222,1,0,0
20428,Non-White,Male,60,Unknown,4,Unknown,<=50K,<=50K,2.314991746053544,0.9517136457041705,2,0,0
7057,White,Female,20,Private,13,Exec-managerial,<=50K,<=50K,-0.1848742442265154,0.08753626360497148,0,0,0
35289,White,Female,40,Private,9,Other-service,<=50K,<=50K,0.005534505033312039,-0.45267995863876215,0,0,0
39438,White,Male,30,State-gov,16,Prof-specialty,>50K,<=50K,-0.7302920208440409,1.505020326944631,1,0,1
10416,Non-White,Female,20,Private,10,Sales,<=50K,<=50K,0.15781777252663812,-0.5709618142523001,0,0,0
39475,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,0,1
34362,White,Female,20,Private,13,Other-service,<=50K,<=50K,0.021656416338112234,-0.3690305166389953,0,0,0
21531,White,Male,20,Private,9,Craft-repair,<=50K,<=50K,-0.0874473105607323,-0.4578094123127217,0,0,0
24725,White,Female,20,Private,9,Tech-support,<=50K,<=50K,0.01491650904528151,-0.455234761741131,0,0,0
11177,White,Female,30,Private,9,Adm-clerical,<=50K,<=50K,-0.04685042766087094,-0.46305962026055425,0,0,0
1937,White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.07139245176147266,-0.3417156020326242,0,0,0
15588,Non-White,Female,20,Unknown,9,Unknown,<=50K,<=50K,2.175781737151555,0.4102686635704735,2,0,0
20335,White,Female,10,Private,9,Sales,<=50K,<=50K,0.38050019510944627,-0.6981194902802993,0,0,0
5088,White,Male,40,Self-emp-inc,13,Prof-specialty,>50K,<=50K,-0.6336065992402228,1.1020753090717395,1,0,1
13370,White,Female,40,Private,9,Other-service,<=50K,<=50K,0.005534505033312039,-0.45267995863876215,0,0,0
13740,White,Male,10,Private,10,Handlers-cleaners,<=50K,<=50K,0.3567231315946992,-0.7687928021727624,0,0,0
48264,White,Male,50,Private,4,Sales,<=50K,<=50K,-0.05419691736005915,-0.08994063215648686,0,0,0
20791,White,Male,20,Unknown,12,Unknown,<=50K,<=50K,1.9593715217323286,0.7511456952799574,2,0,0
5926,White,Female,30,Private,11,Adm-clerical,<=50K,<=50K,-0.1332777586674277,-0.3106258843657181,0,0,0
5083,White,Female,10,Private,7,Adm-clerical,<=50K,<=50K,0.6290064612034678,-0.913739589935929,0,0,0
2290,White,Male,70,Self-emp-inc,13,Sales,>50K,<=50K,0.026263796464676616,0.8169624099898551,1,0,1
16319,White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.07139245176147266,-0.3417156020326242,0,0,0
12250,White,Female,30,Private,11,Adm-clerical,<=50K,<=50K,-0.1332777586674277,-0.3106258843657181,0,0,0
9420,White,Male,40,Private,9,Farming-fishing,<=50K,<=50K,-0.21295154844253272,-0.05382217727086319,0,0,0
7511,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.2518509651937134,0.013933527256138304,0,0,1
37238,White,Female,30,Federal-gov,10,Tech-support,<=50K,<=50K,-0.15854409533594585,-0.06241031577905817,0,0,0
43558,Non-White,Female,40,Private,6,Other-service,<=50K,<=50K,0.24263051298669605,-0.6348872636654762,0,0,0
18946,White,Male,40,Private,2,Sales,<=50K,<=50K,-0.12304081873119871,-0.2806154709975478,0,0,0
37941,White,Male,30,Local-gov,14,Prof-specialty,>50K,<=50K,-0.6596715309953318,1.2646383615891348,1,0,1
12923,Non-White,Male,30,Private,10,Sales,<=50K,<=50K,-0.09031990868841185,-0.3782002838060412,0,0,0
18292,White,Male,30,Private,14,Prof-specialty,>50K,<=50K,-0.5582035725309852,0.846879573027437,1,0,1
35461,White,Female,10,Private,6,Other-service,<=50K,<=50K,0.6625958071221563,-0.9447597644888007,0,0,0
26319,White,Female,30,Private,9,Handlers-cleaners,<=50K,<=50K,-0.019377879887907703,-0.6007014624045062,0,0,0
11370,Non-White,Male,30,Private,12,Machine-op-inspct,<=50K,<=50K,-0.1557795219024868,-0.44664329282617937,0,0,0
46980,White,Female,20,Private,13,Exec-managerial,<=50K,<=50K,-0.1848742442265154,0.08753626360497148,0,0,0
47994,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.2518509651937134,0.013933527256138304,0,0,1
6993,White,Female,10,Private,10,Other-service,<=50K,<=50K,0.5198628737762513,-0.8171285735876427,0,0,0
27231,White,Male,20,Private,9,Machine-op-inspct,<=50K,<=50K,-0.030751442009167285,-0.6083481789730824,0,0,0
44062,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713283978663487,-0.1788280031901205,0,0,0
36631,White,Male,40,Private,10,Exec-managerial,>50K,<=50K,-0.27639298929431516,0.13527754548406842,1,0,1
8968,White,Male,20,Private,10,Handlers-cleaners,<=50K,<=50K,0.03967763440441211,-0.587059012019207,0,0,0
28833,White,Female,20,Private,7,Other-service,<=50K,<=50K,0.38888792080796536,-0.8429701563885116,0,0,0
24851,White,Male,20,Private,9,Adm-clerical,<=50K,<=50K,-0.026083412765282137,-0.5057946368014248,0,0,0
