,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster,income_before_onehot,income_after_onehot
26542,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,1,0
43812,White,Male,50,State-gov,11,Protective-serv,>50K,>50K,-0.47625060513846407,0.6851995879273858,1,1,1
33751,White,Male,30,Self-emp-inc,10,Exec-managerial,>50K,>50K,-0.3709771304563001,0.4443757620260114,1,1,1
40093,White,Male,30,Private,13,Prof-specialty,>50K,<=50K,-0.4899384098770343,0.5502890560739363,1,1,0
7122,White,Male,60,Private,13,Exec-managerial,>50K,>50K,-0.16739316375354088,0.4910416498942235,1,1,1
18059,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
1799,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.17485402171250283,-0.18793973021343424,0,1,1
14177,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
35602,Non-White,Male,40,Private,10,Craft-repair,>50K,>50K,-0.1520786081091744,-0.273293234716783,0,1,1
45982,White,Male,40,Self-emp-not-inc,11,Farming-fishing,>50K,>50K,-0.35983562680185777,0.40522887674018776,1,1,1
14936,White,Male,40,Self-emp-inc,9,Sales,>50K,>50K,-0.3283511726590792,0.2281620833173181,1,1,1
39438,White,Male,30,State-gov,16,Prof-specialty,>50K,<=50K,-0.7302920208440409,1.505020326944631,1,1,0
38693,White,Female,40,Private,15,Prof-specialty,>50K,>50K,-0.47565618996870024,1.0774093065921164,1,1,1
12773,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
39475,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.43301192544156536,0.2802977940512303,1,1,0
18520,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.17485402171250283,-0.18793973021343424,0,1,1
1895,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
5088,White,Male,40,Self-emp-inc,13,Prof-specialty,>50K,<=50K,-0.6336065992402228,1.1020753090717395,1,1,0
22497,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.4242547879347475,0.3760417357307835,1,1,1
11580,White,Male,40,Private,14,Exec-managerial,>50K,>50K,-0.525819112196118,0.6982323292326612,1,1,1
2290,White,Male,70,Self-emp-inc,13,Sales,>50K,<=50K,0.026263796464676616,0.8169624099898551,1,1,0
4260,White,Female,40,Self-emp-not-inc,7,Exec-managerial,>50K,>50K,-0.0370938592653517,0.15930623369316468,0,1,1
47077,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
7511,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.2518509651937134,0.013933527256138304,0,1,0
37941,White,Male,30,Local-gov,14,Prof-specialty,>50K,<=50K,-0.6596715309953318,1.2646383615891348,1,1,0
18292,White,Male,30,Private,14,Prof-specialty,>50K,<=50K,-0.5582035725309852,0.846879573027437,1,1,0
47994,White,Male,30,Private,10,Exec-managerial,>50K,<=50K,-0.2518509651937134,0.013933527256138304,0,1,0
30534,White,Male,50,Self-emp-inc,13,Exec-managerial,>50K,>50K,-0.5433809531973343,0.8064839705006566,1,1,1
36631,White,Male,40,Private,10,Exec-managerial,>50K,<=50K,-0.27639298929431516,0.13527754548406842,1,1,0
47296,White,Male,50,Local-gov,12,Protective-serv,>50K,>50K,-0.41786242086376824,0.6490817040626571,1,1,1
3903,White,Male,40,Self-emp-not-inc,13,Sales,>50K,>50K,-0.41255421560038175,0.42707890038492136,1,1,1
43051,White,Female,40,Private,15,Prof-specialty,>50K,>50K,-0.47565618996870024,1.0774093065921164,1,1,1
5006,White,Male,50,Private,15,Exec-managerial,>50K,>50K,-0.49911587708554234,0.8568312249737277,1,1,1
11424,White,Male,50,Private,10,Craft-repair,>50K,>50K,-0.17485402171250283,-0.18793973021343424,0,1,1
5266,White,Male,40,Private,10,Exec-managerial,>50K,<=50K,-0.27639298929431516,0.13527754548406842,1,1,0
30435,White,Male,40,Self-emp-inc,9,Exec-managerial,>50K,>50K,-0.43380765395363285,0.5093423133277719,1,1,1
23841,White,Male,50,Private,13,Exec-managerial,>50K,>50K,-0.4242547879347475,0.3760417357307835,1,1,1
25332,White,Male,30,Private,15,Prof-specialty,>50K,>50K,-0.5647994990278291,1.0310785453168805,1,1,1
1238,White,Male,40,Private,13,Sales,>50K,>50K,-0.35209746824761345,0.12046158226870661,1,1,1
12382,White,Male,30,Private,14,Prof-specialty,>50K,<=50K,-0.5582035725309852,0.846879573027437,1,1,0
7779,White,Male,40,Local-gov,12,Protective-serv,>50K,>50K,-0.4511615824711878,0.674681780611034,1,1,1
29471,White,Male,70,Self-emp-inc,13,Exec-managerial,>50K,<=50K,-0.079192684829877,1.098142640000309,1,1,0
36456,White,Female,30,Self-emp-not-inc,12,Prof-specialty,>50K,>50K,-0.34048767026769927,0.6140615772212592,1,1,1
23971,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
1537,White,Male,50,Private,14,Exec-managerial,>50K,>50K,-0.4925199505886984,0.6726322526842843,1,1,1
