,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster,income_before_onehot,income_after_onehot
27028,White,Female,20,Private,10,Other-service,<=50K,<=50K,0.20281737658596416,-0.6353947834340873,0,0,0
42480,White,Male,20,Local-gov,9,Protective-serv,<=50K,<=50K,-0.24551690326651857,0.28067929518447526,1,0,0
10374,White,Male,20,Self-emp-not-inc,9,Exec-managerial,<=50K,<=50K,-0.2161438638878934,0.1464251049526188,1,0,0
33418,White,Male,30,Private,9,Tech-support,<=50K,>50K,-0.23322117216976843,-0.26247323129487216,0,0,1
479,White,Female,50,Private,10,Sales,<=50K,<=50K,-0.023952013232611438,-0.2465160180274565,0,0,0
31663,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.2464416827166534,-0.21871712059122694,0,0,1
280,White,Male,30,Federal-gov,9,Craft-repair,<=50K,>50K,-0.29919641433869065,-0.12136243327681848,0,0,1
47385,White,Female,20,Private,10,Adm-clerical,<=50K,<=50K,0.12589041979117946,-0.5244304268279493,0,0,0
27737,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379006448666,-0.49059990547951765,0,0,1
17565,White,Male,50,Private,9,Craft-repair,<=50K,>50K,-0.21314252110923385,-0.24431719713960387,0,0,1
34812,Non-White,Male,20,State-gov,13,Prof-specialty,<=50K,<=50K,-0.4194906053922007,0.7779403317653001,1,0,0
29694,White,Male,30,Self-emp-not-inc,9,Prof-specialty,<=50K,>50K,-0.4075226963786817,0.5341646404688895,1,0,1
2751,White,Female,30,Private,12,Adm-clerical,<=50K,>50K,-0.09350073470961907,-0.30814942655549027,0,0,1
4545,White,Female,10,Private,9,Craft-repair,<=50K,<=50K,0.3432835197892854,-0.7145564594189713,0,0,0
6255,White,Male,20,State-gov,10,Tech-support,<=50K,<=50K,-0.18055944349895178,0.13250909237438693,1,0,0
41498,White,Female,30,Private,9,Exec-managerial,<=50K,<=50K,-0.17645413143071387,-0.11745719662272547,0,0,0
47661,White,Male,50,Self-emp-inc,9,Sales,<=50K,>50K,-0.2950520110516597,0.20256200676894118,1,0,1
9519,White,Female,40,Private,13,Adm-clerical,<=50K,>50K,-0.21426491261259356,-0.018973868311362604,0,0,1
24977,White,Female,30,Local-gov,13,Prof-specialty,<=50K,>50K,-0.4777210351816503,0.8930345876829398,1,0,1
8998,White,Male,30,Private,11,Adm-clerical,<=50K,>50K,-0.24696309182715825,-0.2356126274130239,0,0,1
42254,White,Male,20,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,-0.1144139236393799,0.013702849123856779,0,0,0
43514,White,Male,30,State-gov,7,Craft-repair,<=50K,<=50K,-0.1176197337785532,-0.034905914610757614,0,0,0
42321,White,Male,40,Private,9,Sales,<=50K,>50K,-0.20922500739649258,-0.20228015145255498,0,0,1
22446,White,Male,20,Private,13,Sales,<=50K,>50K,-0.19310309609169238,-0.11863070945278816,0,0,1
16558,Non-White,Female,30,Private,12,Sales,<=50K,<=50K,-0.06157338197416042,-0.35468081397984097,0,0,0
2447,Non-White,Male,40,Self-emp-not-inc,6,Craft-repair,<=50K,<=50K,-0.06980242211603768,-0.09430710750172631,0,0,0
32791,Non-White,Female,10,Private,7,Other-service,<=50K,<=50K,0.7620079932090004,-1.1356575275937926,0,0,0
18622,White,Male,10,Private,5,Handlers-cleaners,<=50K,<=50K,0.4482612867344888,-0.8538308469957712,0,0,0
37268,White,Male,30,Private,9,Adm-clerical,<=50K,<=50K,-0.1605357608206015,-0.3880463633078601,0,0,0
4048,White,Male,10,Private,9,Other-service,<=50K,<=50K,0.36788904121978966,-0.7984927835611181,0,0,0
36238,White,Male,30,Private,7,Machine-op-inspct,<=50K,<=50K,0.059155253554245536,-0.6417978115077724,0,0,0
48540,White,Male,20,Unknown,10,Unknown,<=50K,<=50K,2.044310328177808,0.652612968501063,2,0,0
23014,White,Male,30,Self-emp-not-inc,9,Farming-fishing,<=50K,<=50K,-0.24886627169469927,0.13145112261742142,1,0,0
25791,Non-White,Female,30,Private,9,Other-service,<=50K,<=50K,0.08615110434466174,-0.684977557918418,0,0,0
3017,White,Female,50,Unknown,10,Unknown,<=50K,>50K,2.032300450789037,0.7910919267214866,2,0,1
5342,White,Male,30,Private,13,Craft-repair,<=50K,>50K,-0.3647721194671726,-0.017319405097895476,0,0,1
28264,White,Female,30,Private,9,Craft-repair,<=50K,<=50K,-0.10821432545632109,-0.41507439577185123,0,0,0
21138,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,0,1
16892,Non-White,Male,30,Private,9,Transport-moving,<=50K,<=50K,-0.13924820846902428,-0.4760824467148544,0,0,0
13924,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.22189965861605165,-0.34006113881915706,0,0,1
23729,Non-White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.015317876550724691,-0.4526691830843499,0,0,0
15700,Non-White,Female,70,Local-gov,12,Prof-specialty,<=50K,<=50K,0.14752109970574548,1.0016520777942222,1,0,0
20428,Non-White,Male,60,Unknown,4,Unknown,<=50K,<=50K,2.314991746053544,0.9517136457041705,2,0,0
7057,White,Female,20,Private,13,Exec-managerial,<=50K,<=50K,-0.1848742442265154,0.08753626360497148,0,0,0
8028,White,Female,40,Private,13,Prof-specialty,<=50K,>50K,-0.4007951008179055,0.5966198173491721,1,0,1
27163,White,Male,30,Private,10,Machine-op-inspct,<=50K,>50K,-0.12691529066775564,-0.4342224385533481,0,0,1
35289,White,Female,40,Private,9,Other-service,<=50K,<=50K,0.005534505033312039,-0.45267995863876215,0,0,0
9368,White,Female,60,Private,9,Exec-managerial,<=50K,>50K,0.0891646302573106,0.09328665922026769,0,0,1
10416,Non-White,Female,20,Private,10,Sales,<=50K,<=50K,0.15781777252663812,-0.5709618142523001,0,0,0
37442,White,Female,40,Local-gov,14,Prof-specialty,<=50K,>50K,-0.5705282219362029,1.3109691228643707,1,0,1
37267,White,Female,40,Private,9,Exec-managerial,<=50K,>50K,-0.20099615553131558,0.00388682160520462,0,0,1
34362,White,Female,20,Private,13,Other-service,<=50K,<=50K,0.021656416338112234,-0.3690305166389953,0,0,0
21531,White,Male,20,Private,9,Craft-repair,<=50K,<=50K,-0.0874473105607323,-0.4578094123127217,0,0,0
24725,White,Female,20,Private,9,Tech-support,<=50K,<=50K,0.01491650904528151,-0.455234761741131,0,0,0
11177,White,Female,30,Private,9,Adm-clerical,<=50K,<=50K,-0.04685042766087094,-0.46305962026055425,0,0,0
1937,White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.07139245176147266,-0.3417156020326242,0,0,0
15588,Non-White,Female,20,Unknown,9,Unknown,<=50K,<=50K,2.175781737151555,0.4102686635704735,2,0,0
20335,White,Female,10,Private,9,Sales,<=50K,<=50K,0.38050019510944627,-0.6981194902802993,0,0,0
24773,White,Female,40,Private,13,Prof-specialty,<=50K,>50K,-0.4007951008179055,0.5966198173491721,1,0,1
37904,White,Female,50,Local-gov,10,Exec-managerial,<=50K,>50K,-0.23087645299151163,0.45242300054469503,1,0,1
18566,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.2464416827166534,-0.21871712059122694,0,0,1
37586,White,Male,40,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.3068984300694217,0.08790019752498779,1,0,1
13370,White,Female,40,Private,9,Other-service,<=50K,<=50K,0.005534505033312039,-0.45267995863876215,0,0,0
13740,White,Male,10,Private,10,Handlers-cleaners,<=50K,<=50K,0.3567231315946992,-0.7687928021727624,0,0,0
48264,White,Male,50,Private,4,Sales,<=50K,<=50K,-0.05419691736005915,-0.08994063215648686,0,0,0
20791,White,Male,20,Unknown,12,Unknown,<=50K,<=50K,1.9593715217323286,0.7511456952799574,2,0,0
5926,White,Female,30,Private,11,Adm-clerical,<=50K,<=50K,-0.1332777586674277,-0.3106258843657181,0,0,0
45339,White,Male,40,Private,9,Sales,<=50K,>50K,-0.20922500739649258,-0.20228015145255498,0,0,1
5083,White,Female,10,Private,7,Adm-clerical,<=50K,<=50K,0.6290064612034678,-0.913739589935929,0,0,0
16319,White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.07139245176147266,-0.3417156020326242,0,0,0
30057,White,Male,40,Self-emp-not-inc,10,Exec-managerial,<=50K,>50K,-0.33684973664708345,0.4418948636002832,1,0,1
